,name,type,count,amount,year,quarter,state,quarter_year
180,Others,TOTAL,12,33192.01728,2020,1,lakshadweep,Q1 2020
181,Recharge & bill payments,TOTAL,4497,1061694.139,2020,2,lakshadweep,Q2 2020
182,Peer-to-peer payments,TOTAL,2176,14718605.19,2020,2,lakshadweep,Q2 2020
183,Merchant payments,TOTAL,472,971609.4584,2020,2,lakshadweep,Q2 2020
184,Financial Services,TOTAL,60,158593.597,2020,2,lakshadweep,Q2 2020
185,Others,TOTAL,15,32419.70309,2020,2,lakshadweep,Q2 2020
186,Recharge & bill payments,TOTAL,4696,1186947.554,2020,3,lakshadweep,Q3 2020
187,Peer-to-peer payments,TOTAL,2946,19189391.62,2020,3,lakshadweep,Q3 2020
188,Merchant payments,TOTAL,903,842981.1695,2020,3,lakshadweep,Q3 2020
189,Financial Services,TOTAL,27,45457.5097,2020,3,lakshadweep,Q3 2020
190,Others,TOTAL,17,42055.45695,2020,3,lakshadweep,Q3 2020
191,Recharge & bill payments,TOTAL,5187,1499298.113,2020,4,lakshadweep,Q4 2020
192,Peer-to-peer payments,TOTAL,4741,27284123.25,2020,4,lakshadweep,Q4 2020
193,Merchant payments,TOTAL,1668,1227101.638,2020,4,lakshadweep,Q4 2020
194,Financial Services,TOTAL,22,13968.754,2020,4,lakshadweep,Q4 2020
195,Others,TOTAL,32,86826.16676,2020,4,lakshadweep,Q4 2020
196,Peer-to-peer payments,TOTAL,3942,24823715.02,2021,1,lakshadweep,Q1 2021
197,Recharge & bill payments,TOTAL,3541,1070209.422,2021,1,lakshadweep,Q1 2021
198,Merchant payments,TOTAL,1537,1040213.795,2021,1,lakshadweep,Q1 2021
199,Financial Services,TOTAL,19,15929.09511,2021,1,lakshadweep,Q1 2021
200,Others,TOTAL,46,92715.58431,2021,1,lakshadweep,Q1 2021
201,Recharge & bill payments,TOTAL,5499,1745295.828,2021,2,lakshadweep,Q2 2021
202,Peer-to-peer payments,TOTAL,4069,23996417.49,2021,2,lakshadweep,Q2 2021
203,Merchant payments,TOTAL,1743,1525331.915,2021,2,lakshadweep,Q2 2021
204,Financial Services,TOTAL,29,15052.0185,2021,2,lakshadweep,Q2 2021
205,Others,TOTAL,44,101366.4031,2021,2,lakshadweep,Q2 2021
206,Peer-to-peer payments,TOTAL,5687,34142107.52,2021,3,lakshadweep,Q3 2021
207,Recharge & bill payments,TOTAL,5153,1700287.473,2021,3,lakshadweep,Q3 2021
208,Merchant payments,TOTAL,2450,2750367.063,2021,3,lakshadweep,Q3 2021
209,Financial Services,TOTAL,48,137227.3539,2021,3,lakshadweep,Q3 2021
210,Others,TOTAL,32,73174.28817,2021,3,lakshadweep,Q3 2021
211,Peer-to-peer payments,TOTAL,7154,44696668.86,2021,4,lakshadweep,Q4 2021
212,Recharge & bill payments,TOTAL,5355,2093901.292,2021,4,lakshadweep,Q4 2021
213,Merchant payments,TOTAL,2872,4071239.087,2021,4,lakshadweep,Q4 2021
214,Financial Services,TOTAL,27,19994.54195,2021,4,lakshadweep,Q4 2021
215,Others,TOTAL,62,116381.746,2021,4,lakshadweep,Q4 2021
216,Peer-to-peer payments,TOTAL,7913,48590864.57,2022,1,lakshadweep,Q1 2022
217,Recharge & bill payments,TOTAL,5334,2322580.17,2022,1,lakshadweep,Q1 2022
218,Merchant payments,TOTAL,3048,3838358.359,2022,1,lakshadweep,Q1 2022
219,Financial Services,TOTAL,39,38274.22629,2022,1,lakshadweep,Q1 2022
220,Others,TOTAL,63,149355.3311,2022,1,lakshadweep,Q1 2022
221,Peer-to-peer payments,TOTAL,8491,48451728.05,2022,2,lakshadweep,Q2 2022
222,Recharge & bill payments,TOTAL,5366,2386144.715,2022,2,lakshadweep,Q2 2022
223,Merchant payments,TOTAL,3602,4895657.06,2022,2,lakshadweep,Q2 2022
224,Financial Services,TOTAL,59,87127.82495,2022,2,lakshadweep,Q2 2022
225,Others,TOTAL,51,108944.3427,2022,2,lakshadweep,Q2 2022
226,Peer-to-peer payments,TOTAL,7533,40029003.83,2022,3,lakshadweep,Q3 2022
227,Recharge & bill payments,TOTAL,4441,1936538.307,2022,3,lakshadweep,Q3 2022
228,Merchant payments,TOTAL,3142,5469200.646,2022,3,lakshadweep,Q3 2022
229,Financial Services,TOTAL,64,63629.88417,2022,3,lakshadweep,Q3 2022
230,Others,TOTAL,61,81636.95473,2022,3,lakshadweep,Q3 2022
231,Peer-to-peer payments,TOTAL,8686,47450386,2022,4,lakshadweep,Q4 2022
232,Recharge & bill payments,TOTAL,4557,2024739.154,2022,4,lakshadweep,Q4 2022
233,Merchant payments,TOTAL,3819,5250991.002,2022,4,lakshadweep,Q4 2022
234,Financial Services,TOTAL,35,26453.02478,2022,4,lakshadweep,Q4 2022
235,Others,TOTAL,50,61304.43025,2022,4,lakshadweep,Q4 2022
236,Peer-to-peer payments,TOTAL,40488967,87361237975,2019,1,telangana,Q1 2019
237,Merchant payments,TOTAL,12341901,4144368546,2019,1,telangana,Q1 2019
238,Recharge & bill payments,TOTAL,11525394,3619117615,2019,1,telangana,Q1 2019
239,Financial Services,TOTAL,463688,54547989.28,2019,1,telangana,Q1 2019
240,Others,TOTAL,470752,343989909.9,2019,1,telangana,Q1 2019
241,Peer-to-peer payments,TOTAL,46741594,1.41E+11,2019,2,telangana,Q2 2019
242,Merchant payments,TOTAL,25682382,8442740781,2019,2,telangana,Q2 2019
243,Recharge & bill payments,TOTAL,16225017,5603477829,2019,2,telangana,Q2 2019
244,Financial Services,TOTAL,252173,43627344.86,2019,2,telangana,Q2 2019
245,Others,TOTAL,709213,490894328.4,2019,2,telangana,Q2 2019
246,Peer-to-peer payments,TOTAL,59981113,1.80E+11,2019,3,telangana,Q3 2019
247,Merchant payments,TOTAL,44035953,14308557741,2019,3,telangana,Q3 2019
248,Recharge & bill payments,TOTAL,16437222,6793699069,2019,3,telangana,Q3 2019
249,Financial Services,TOTAL,183163,39617186.74,2019,3,telangana,Q3 2019
250,Others,TOTAL,857925,445278745.4,2019,3,telangana,Q3 2019
251,Peer-to-peer payments,TOTAL,82587060,2.49E+11,2019,4,telangana,Q4 2019
252,Merchant payments,TOTAL,59347809,21510626607,2019,4,telangana,Q4 2019
253,Recharge & bill payments,TOTAL,20797056,9561315125,2019,4,telangana,Q4 2019
254,Financial Services,TOTAL,137291,33453857.4,2019,4,telangana,Q4 2019
255,Others,TOTAL,703042,294688962.7,2019,4,telangana,Q4 2019
256,Peer-to-peer payments,TOTAL,95668911,3.28E+11,2020,1,telangana,Q1 2020
257,Merchant payments,TOTAL,76818285,31076431478,2020,1,telangana,Q1 2020
258,Recharge & bill payments,TOTAL,26324268,12324266105,2020,1,telangana,Q1 2020
259,Financial Services,TOTAL,88184,59500639.39,2020,1,telangana,Q1 2020
260,Others,TOTAL,509877,241784101.5,2020,1,telangana,Q1 2020
261,Peer-to-peer payments,TOTAL,76683293,2.79E+11,2020,2,telangana,Q2 2020
262,Merchant payments,TOTAL,44181999,26712043205,2020,2,telangana,Q2 2020
263,Recharge & bill payments,TOTAL,30885875,15106945864,2020,2,telangana,Q2 2020
264,Financial Services,TOTAL,116776,134169906.7,2020,2,telangana,Q2 2020
265,Others,TOTAL,187200,100126467.2,2020,2,telangana,Q2 2020
266,Peer-to-peer payments,TOTAL,116668399,4.37E+11,2020,3,telangana,Q3 2020
267,Merchant payments,TOTAL,86836471,49743225885,2020,3,telangana,Q3 2020
268,Recharge & bill payments,TOTAL,32352860,18378477088,2020,3,telangana,Q3 2020
269,Financial Services,TOTAL,195857,223377023.5,2020,3,telangana,Q3 2020
270,Others,TOTAL,318539,156875854.6,2020,3,telangana,Q3 2020
271,Peer-to-peer payments,TOTAL,160607487,5.92E+11,2020,4,telangana,Q4 2020
272,Merchant payments,TOTAL,143897953,81725950703,2020,4,telangana,Q4 2020
273,Recharge & bill payments,TOTAL,38174710,22006183349,2020,4,telangana,Q4 2020
274,Financial Services,TOTAL,230134,275357720,2020,4,telangana,Q4 2020
275,Others,TOTAL,733503,366346176.4,2020,4,telangana,Q4 2020
276,Merchant payments,TOTAL,185230619,95927278281,2021,1,telangana,Q1 2021
277,Peer-to-peer payments,TOTAL,179738195,6.76E+11,2021,1,telangana,Q1 2021
278,Recharge & bill payments,TOTAL,46371555,26447601339,2021,1,telangana,Q1 2021
279,Financial Services,TOTAL,262473,320153410.2,2021,1,telangana,Q1 2021
280,Others,TOTAL,969268,387877900.5,2021,1,telangana,Q1 2021
281,Peer-to-peer payments,TOTAL,230861833,8.72E+11,2021,2,telangana,Q2 2021
282,Merchant payments,TOTAL,205232899,1.23E+11,2021,2,telangana,Q2 2021
283,Recharge & bill payments,TOTAL,58637866,31877277168,2021,2,telangana,Q2 2021
284,Financial Services,TOTAL,278546,300569264.1,2021,2,telangana,Q2 2021
285,Others,TOTAL,856400,420723415.9,2021,2,telangana,Q2 2021
286,Merchant payments,TOTAL,286735350,1.59E+11,2021,3,telangana,Q3 2021
287,Peer-to-peer payments,TOTAL,271436926,9.82E+11,2021,3,telangana,Q3 2021
288,Recharge & bill payments,TOTAL,62744121,36434881136,2021,3,telangana,Q3 2021
289,Financial Services,TOTAL,235519,329138539.5,2021,3,telangana,Q3 2021
290,Others,TOTAL,1734852,543116826.3,2021,3,telangana,Q3 2021
291,Merchant payments,TOTAL,376584215,2.13E+11,2021,4,telangana,Q4 2021
292,Peer-to-peer payments,TOTAL,331774591,1.20E+12,2021,4,telangana,Q4 2021
293,Recharge & bill payments,TOTAL,66477036,44760398983,2021,4,telangana,Q4 2021
294,Financial Services,TOTAL,298871,392141743.7,2021,4,telangana,Q4 2021
295,Others,TOTAL,855060,639658842.9,2021,4,telangana,Q4 2021
296,Merchant payments,TOTAL,449186799,2.44E+11,2022,1,telangana,Q1 2022
297,Peer-to-peer payments,TOTAL,368048408,1.38E+12,2022,1,telangana,Q1 2022
298,Recharge & bill payments,TOTAL,66352138,50470450180,2022,1,telangana,Q1 2022
299,Financial Services,TOTAL,284035,394283511.9,2022,1,telangana,Q1 2022
300,Others,TOTAL,2582005,642005688.8,2022,1,telangana,Q1 2022
301,Merchant payments,TOTAL,565370506,3.07E+11,2022,2,telangana,Q2 2022
302,Peer-to-peer payments,TOTAL,422056582,1.58E+12,2022,2,telangana,Q2 2022
303,Recharge & bill payments,TOTAL,75099130,63136761649,2022,2,telangana,Q2 2022
304,Financial Services,TOTAL,245023,324857780.6,2022,2,telangana,Q2 2022
305,Others,TOTAL,611316,470432687.4,2022,2,telangana,Q2 2022
306,Merchant payments,TOTAL,880414292,4.47E+11,2022,3,telangana,Q3 2022
307,Peer-to-peer payments,TOTAL,626830752,2.17E+12,2022,3,telangana,Q3 2022
308,Recharge & bill payments,TOTAL,119779835,87937210666,2022,3,telangana,Q3 2022
